iter	MultiClass
0	1.05014443
1	1.008864577
2	0.9813986178
3	0.9536949177
4	0.926739269
5	0.9041384963
6	0.8841095787
7	0.866954332
8	0.8512890571
9	0.8380580648
10	0.8271949077
11	0.8151524991
12	0.8041928769
13	0.7953317871
14	0.7860295038
15	0.7776133793
16	0.7691737362
17	0.7631130989
18	0.7575620295
19	0.7523924556
20	0.746627828
21	0.7416861056
22	0.7350135731
23	0.7297689457
24	0.7263922343
25	0.7220365761
26	0.7182651752
27	0.7144829711
28	0.7118381555
29	0.7069078935
30	0.7040549385
31	0.70233477
32	0.6996213173
33	0.6969726264
34	0.6936423115
35	0.6903316402
36	0.6880763481
37	0.6858828493
38	0.6834393413
39	0.6803121273
40	0.6780835767
41	0.6762775183
42	0.6740142781
43	0.6719339208
44	0.6702473519
45	0.6678966101
46	0.6662946699
47	0.6641483558
48	0.662962746
49	0.6605984999
50	0.6586164092
51	0.6571613626
52	0.6554351495
53	0.6537592507
54	0.6520569038
55	0.6503400142
56	0.6484768437
57	0.6476331772
58	0.6463726861
59	0.6446309932
60	0.6431157139
61	0.6413242198
62	0.6394180795
63	0.6383665329
64	0.6368751575
65	0.6358146543
66	0.6344609121
67	0.632844585
68	0.630720231
69	0.6284930836
70	0.6269488282
71	0.6257785427
72	0.6244417028
73	0.6227392313
74	0.6212097793
75	0.6198109417
76	0.6187507214
77	0.6169949415
78	0.6150620321
79	0.6132720696
80	0.6121245582
81	0.6114490931
82	0.6104253335
83	0.6098828173
84	0.6085217662
85	0.6070735635
86	0.6052073482
87	0.6041300322
88	0.603186283
89	0.6016606851
90	0.6001226845
91	0.5992595927
92	0.5985473198
93	0.597249893
94	0.5967973192
95	0.5950851293
96	0.5932130592
97	0.5912111822
98	0.5904796813
99	0.5891765309
100	0.5879711803
101	0.5868115617
102	0.5861376668
103	0.5853609464
104	0.5843540049
105	0.5834082193
106	0.5817258796
107	0.5803928895
108	0.5789584734
109	0.5776880081
110	0.5770731488
111	0.575796332
112	0.5741711295
113	0.5729519329
114	0.57124497
115	0.5706545689
116	0.5694569087
117	0.5687677618
118	0.5679275495
119	0.5667888378
120	0.5656521506
121	0.5646952117
122	0.5637698393
123	0.5626841495
124	0.5617615972
125	0.5606421741
126	0.5598437615
127	0.5582048392
128	0.5574132534
129	0.5554423244
130	0.5548156833
131	0.5532966682
132	0.5523325705
133	0.5512895148
134	0.5505711385
135	0.5491567092
136	0.5480538799
137	0.5473345002
138	0.5465101492
139	0.5450827004
140	0.5444037486
141	0.543527124
142	0.5427186385
143	0.5418197326
144	0.5405070935
145	0.5394673593
146	0.5387097052
147	0.5379581787
148	0.5374106964
149	0.5366544536
150	0.5361603707
151	0.5354015013
152	0.534199361
153	0.5331918681
154	0.5314832823
155	0.5304890524
156	0.5283854055
157	0.5276432272
158	0.5263611602
159	0.5254587007
160	0.5247162278
161	0.5231016034
162	0.5224835467
163	0.5216948983
164	0.5204748093
165	0.5190480263
166	0.5183566949
167	0.51647661
168	0.5153638025
169	0.514216923
170	0.5133997727
171	0.512430625
172	0.5114238223
173	0.5107066057
174	0.51017241
175	0.5092740809
176	0.5085410448
177	0.5079922819
178	0.507219362
179	0.5066028944
180	0.5061993688
181	0.5055670684
182	0.5046472836
183	0.5041561934
184	0.5028180692
185	0.5021063662
186	0.5013792466
187	0.5006987856
188	0.4992666081
189	0.4986716887
190	0.4983180502
191	0.4975721321
192	0.4969141942
193	0.4960627756
194	0.4949549186
195	0.4945083686
196	0.4939172904
197	0.4932689396
198	0.4925114862
199	0.4918419239
200	0.4912917535
201	0.4898326499
202	0.4894299499
203	0.4888549997
204	0.4882033183
205	0.4876928992
206	0.4868646297
207	0.4864301284
208	0.4860331639
209	0.4855927987
210	0.4851628556
211	0.4842581824
212	0.4833406965
213	0.4829310162
214	0.4823587356
215	0.4818026805
216	0.4810183344
217	0.4796833478
218	0.4786012486
219	0.4772199225
220	0.4766732785
221	0.475699062
222	0.47525364
223	0.4745880973
224	0.473843531
225	0.4731770742
226	0.4725869723
227	0.4719738528
228	0.4714556829
229	0.4708627988
230	0.4697946935
231	0.4690799982
232	0.4684496428
233	0.468018825
234	0.4675581406
235	0.4666786172
236	0.4660002816
237	0.465221823
238	0.4642290574
239	0.4632777985
240	0.46231216
241	0.4618491901
242	0.4613952171
243	0.4609613291
244	0.4603863781
245	0.4598514729
246	0.4590342494
247	0.4582073458
248	0.4570821982
249	0.4565688885
250	0.4558510312
251	0.4550135687
252	0.4537687994
253	0.4529874351
254	0.4523546535
255	0.4519599771
256	0.4511402765
257	0.4506148293
258	0.4501337114
259	0.4498169411
260	0.4493590498
261	0.4487482887
262	0.4482200536
263	0.4476373313
264	0.4472316712
265	0.4463616435
266	0.4458928152
267	0.4455061044
268	0.4450249597
