iter	Passed	Remaining
0	15	15060
1	25	12902
2	30	10146
3	40	10060
4	52	10381
5	63	10458
6	73	10417
7	103	12863
8	115	12665
9	125	12407
10	135	12203
11	146	12059
12	156	11917
13	168	11832
14	203	13362
15	221	13627
16	232	13438
17	243	13262
18	254	13140
19	265	12996
20	276	12868
21	286	12732
22	297	12640
23	307	12524
24	318	12417
25	352	13191
26	365	13159
27	376	13069
28	386	12946
29	397	12865
30	408	12757
31	418	12659
32	429	12586
33	440	12508
34	450	12415
35	460	12342
36	471	12264
37	481	12201
38	492	12139
39	502	12068
40	513	12005
41	523	11937
42	533	11870
43	545	11859
44	559	11871
45	571	11847
46	582	11820
47	595	11807
48	605	11746
49	615	11688
50	625	11635
51	635	11577
52	645	11533
53	655	11482
54	665	11428
55	675	11387
56	685	11340
57	695	11293
58	705	11245
59	714	11198
60	725	11160
61	735	11127
62	745	11091
63	756	11056
64	766	11020
65	775	10979
66	786	10947
67	796	10915
68	806	10882
69	817	10855
70	826	10817
71	836	10787
72	847	10757
73	857	10733
74	867	10701
75	878	10675
76	888	10644
77	898	10615
78	908	10587
79	918	10560
80	928	10532
81	938	10501
82	948	10473
83	957	10442
84	967	10414
85	977	10388
86	987	10365
87	997	10341
88	1008	10320
89	1018	10301
90	1028	10275
91	1038	10250
92	1048	10225
93	1058	10197
94	1067	10171
95	1077	10145
96	1087	10123
97	1097	10104
98	1107	10078
99	1117	10054
100	1127	10035
101	1137	10017
102	1147	9993
103	1157	9971
104	1167	9949
105	1176	9925
106	1186	9905
107	1196	9885
108	1206	9866
109	1217	9847
110	1226	9826
111	1236	9805
112	1247	9789
113	1256	9768
114	1267	9752
115	1277	9736
116	1287	9717
117	1297	9697
118	1306	9675
119	1316	9657
120	1326	9637
121	1336	9617
122	1346	9597
123	1356	9581
124	1366	9562
125	1375	9543
126	1385	9526
127	1395	9509
128	1405	9490
129	1415	9476
130	1425	9457
131	1435	9442
132	1445	9424
133	1455	9407
134	1465	9390
135	1475	9375
136	1485	9360
137	1496	9344
138	1506	9328
139	1515	9311
140	1525	9294
141	1537	9287
142	1548	9280
143	1560	9273
144	1571	9269
145	1583	9260
146	1593	9245
147	1603	9232
148	1614	9218
149	1624	9203
150	1633	9184
151	1643	9168
152	1653	9152
153	1662	9134
154	1674	9131
155	1711	9261
156	1728	9279
157	1740	9277
158	1754	9280
159	1764	9261
160	1774	9248
161	1785	9235
162	1795	9218
163	1805	9202
164	1815	9186
165	1825	9171
166	1835	9155
167	1846	9146
168	1857	9132
169	1867	9117
170	1877	9102
171	1887	9088
172	1897	9071
173	1907	9056
174	1917	9039
175	1927	9023
176	1937	9007
177	1946	8990
178	1956	8974
179	1966	8958
180	1976	8942
181	1986	8926
182	1995	8910
183	2005	8894
184	2015	8880
185	2025	8864
186	2035	8850
187	2045	8836
188	2056	8822
189	2066	8809
190	2076	8794
191	2086	8782
192	2097	8771
193	2107	8757
194	2118	8744
195	2128	8729
196	2138	8716
197	2148	8702
198	2159	8690
199	2169	8677
200	2179	8665
201	2190	8653
202	2200	8640
203	2212	8632
204	2222	8620
205	2233	8607
206	2243	8593
207	2253	8580
208	2264	8569
209	2274	8555
210	2285	8545
211	2295	8532
212	2305	8517
213	2315	8503
214	2324	8488
215	2335	8475
216	2345	8462
217	2355	8448
218	2365	8435
219	2376	8424
220	2386	8410
221	2396	8397
222	2406	8383
223	2416	8370
224	2426	8357
225	2436	8344
226	2447	8332
227	2457	8320
228	2467	8308
229	2477	8295
230	2488	8283
231	2498	8271
232	2509	8260
233	2520	8251
234	2532	8244
235	2546	8243
236	2558	8238
237	2569	8225
238	2579	8212
239	2589	8200
240	2599	8186
241	2609	8174
242	2619	8160
243	2629	8148
244	2639	8135
245	2649	8121
246	2659	8108
247	2669	8095
248	2680	8084
249	2690	8070
250	2701	8060
251	2711	8049
252	2721	8036
253	2731	8023
254	2741	8010
255	2752	7998
256	2762	7986
257	2772	7973
258	2782	7960
259	2795	7956
260	2814	7967
261	2828	7965
262	2842	7965
263	2856	7963
264	2869	7958
265	2881	7950
266	2893	7942
267	2906	7939
268	2920	7936
269	2932	7929
270	2946	7926
271	2961	7925
272	2977	7930
273	2994	7934
274	3008	7932
275	3023	7931
276	3038	7931
277	3077	7991
278	3090	7987
279	3106	7987
280	3119	7982
281	3129	7968
282	3141	7959
283	3152	7948
284	3162	7935
285	3173	7922
286	3184	7911
287	3194	7897
288	3206	7888
289	3217	7876
290	3227	7864
291	3238	7851
292	3247	7837
293	3257	7823
294	3268	7812
295	3278	7798
296	3289	7785
297	3299	7772
298	3309	7759
299	3320	7747
300	3332	7738
301	3342	7725
302	3353	7713
303	3363	7700
304	3373	7686
305	3383	7673
306	3393	7660
307	3404	7648
308	3414	7635
309	3424	7621
310	3435	7611
311	3446	7599
312	3456	7586
313	3467	7576
314	3478	7563
315	3488	7550
316	3500	7542
317	3514	7537
318	3525	7527
319	3536	7515
320	3548	7506
321	3558	7493
322	3568	7480
323	3579	7467
324	3588	7453
325	3599	7440
326	3609	7429
327	3619	7416
328	3630	7404
329	3641	7394
330	3652	7381
331	3663	7370
332	3675	7362
333	3713	7405
334	3732	7408
335	3753	7416
336	3769	7415
337	3785	7414
338	3802	7413
339	3821	7417
340	3834	7410
341	3849	7405
342	3865	7403
343	3881	7402
344	3896	7397
345	3910	7391
346	3925	7386
347	3938	7379
348	3952	7372
349	3966	7366
350	3979	7358
351	3994	7354
352	4009	7348
353	4023	7341
354	4037	7335
355	4050	7328
356	4064	7320
357	4078	7314
358	4092	7306
359	4106	7300
360	4119	7292
361	4133	7284
362	4147	7277
363	4160	7269
364	4174	7262
365	4185	7250
366	4195	7235
367	4204	7221
368	4214	7207
369	4224	7193
370	4234	7179
371	4244	7166
372	4255	7153
373	4265	7139
374	4275	7125
375	4284	7111
376	4295	7098
377	4305	7084
378	4315	7071
379	4325	7058
380	4335	7043
381	4345	7030
382	4355	7017
383	4365	7003
384	4375	6989
385	4385	6975
386	4395	6962
387	4405	6949
388	4415	6935
389	4425	6921
390	4435	6908
391	4445	6894
392	4455	6881
393	4465	6867
394	4476	6856
395	4488	6845
396	4498	6833
397	4510	6821
398	4522	6811
399	4531	6797
400	4541	6784
401	4551	6771
402	4561	6758
403	4571	6744
404	4581	6730
405	4590	6716
406	4600	6703
407	4611	6690
408	4621	6677
409	4631	6664
410	4641	6651
411	4651	6637
412	4660	6624
413	4670	6610
414	4679	6596
415	4689	6583
416	4699	6570
417	4709	6557
418	4719	6543
419	4729	6530
420	4739	6517
421	4749	6505
422	4759	6492
423	4769	6479
424	4779	6466
425	4789	6453
426	4799	6440
427	4809	6427
428	4819	6414
429	4829	6402
430	4839	6389
431	4849	6376
432	4859	6363
433	4869	6350
434	4880	6338
435	4890	6325
436	4900	6312
437	4910	6301
438	4920	6288
439	4930	6275
440	4940	6262
441	4950	6249
442	4960	6237
443	4970	6224
444	4980	6212
445	4990	6199
446	5000	6186
447	5011	6174
448	5020	6161
449	5031	6149
450	5040	6136
451	5050	6123
452	5060	6111
453	5070	6098
454	5080	6085
455	5090	6073
456	5100	6060
457	5111	6049
458	5121	6036
459	5132	6024
460	5142	6012
461	5152	5999
462	5161	5986
463	5172	5974
464	5182	5962
465	5192	5950
466	5202	5937
467	5212	5925
468	5222	5913
469	5232	5900
470	5243	5888
471	5253	5876
472	5263	5864
473	5272	5851
474	5282	5838
475	5292	5826
476	5302	5814
477	5313	5802
478	5323	5790
479	5333	5777
480	5343	5765
481	5353	5752
482	5362	5740
483	5373	5728
484	5383	5716
485	5393	5704
486	5403	5692
487	5413	5679
488	5423	5667
489	5433	5655
490	5443	5643
491	5454	5631
492	5463	5618
493	5475	5608
494	5489	5600
495	5501	5590
496	5513	5579
497	5524	5568
498	5534	5556
499	5544	5544
500	5597	5574
501	5612	5567
502	5627	5560
503	5642	5552
504	5653	5541
505	5663	5529
506	5674	5517
507	5684	5505
508	5694	5492
509	5703	5480
510	5714	5468
511	5724	5456
512	5734	5443
513	5744	5431
514	5754	5419
515	5764	5406
516	5774	5394
517	5784	5382
518	5796	5371
519	5806	5359
520	5816	5347
521	5826	5334
522	5836	5322
523	5845	5310
524	5856	5298
525	5866	5286
526	5876	5274
527	5886	5262
528	5896	5249
529	5906	5237
530	5919	5228
531	5934	5220
532	5944	5208
533	5954	5196
534	5966	5185
535	5976	5173
536	5986	5161
537	5997	5150
538	6008	5138
539	6023	5131
540	6036	5121
541	6047	5110
542	6057	5098
543	6068	5086
544	6078	5074
545	6087	5061
546	6097	5050
547	6107	5037
548	6117	5025
549	6127	5013
550	6137	5001
551	6148	4990
552	6159	4978
553	6172	4969
554	6185	4959
555	6198	4949
556	6211	4939
557	6226	4931
558	6241	4924
559	6254	4914
560	6265	4902
561	6275	4891
562	6285	4879
563	6297	4868
564	6308	4856
565	6318	4844
566	6329	4833
567	6340	4822
568	6350	4810
569	6360	4798
570	6371	4786
571	6381	4774
572	6391	4762
573	6401	4751
574	6411	4739
575	6421	4726
576	6431	4715
577	6441	4703
578	6451	4691
579	6461	4679
580	6472	4667
581	6482	4655
582	6492	4644
583	6503	4632
584	6515	4621
585	6527	4611
586	6538	4600
587	6550	4589
588	6561	4578
589	6571	4566
590	6582	4555
591	6593	4543
592	6603	4532
593	6613	4520
594	6623	4508
595	6633	4496
596	6643	4484
597	6653	4472
598	6663	4460
599	6673	4449
600	6684	4437
601	6693	4425
602	6704	4413
603	6714	4402
604	6724	4390
605	6734	4378
606	6744	4366
607	6754	4354
608	6764	4342
609	6774	4331
610	6785	4319
611	6795	4308
612	6805	4296
613	6815	4284
614	6825	4272
615	6835	4260
616	6845	4249
617	6854	4237
618	6864	4225
619	6874	4213
620	6884	4201
621	6894	4190
622	6904	4178
623	6914	4166
624	6924	4154
625	6934	4143
